Google service,Service description,Service ID,SKU ID,SKU description,Consumption model description,Product taxonomy,Unit description,Per unit quantity,Tiered usage start,List price ($),
Maps,Geocoding API,0AC2-4B25-C429,BAC8-4E68-E261,Geocoding,Default,Maps Platform > Places > Geocoding API > Backend,count,1000,0,0.00,
Maps,Geocoding API,0AC2-4B25-C429,BAC8-4E68-E261,Geocoding,Default,Maps Platform > Places > Geocoding API > Backend,count,1000,10000,5.00,
Maps,Geocoding API,0AC2-4B25-C429,BAC8-4E68-E261,Geocoding,Default,Maps Platform > Places > Geocoding API > Backend,count,1000,100000,4.00,
Maps,Geocoding API,0AC2-4B25-C429,BAC8-4E68-E261,Geocoding,Default,Maps Platform > Places > Geocoding API > Backend,count,1000,500000,3.00,
Maps,Geocoding API,0AC2-4B25-C429,BAC8-4E68-E261,Geocoding,Default,Maps Platform > Places > Geocoding API > Backend,count,1000,1000000,1.50,
Maps,Geocoding API,0AC2-4B25-C429,BAC8-4E68-E261,Geocoding,Default,Maps Platform > Places > Geocoding API > Backend,count,1000,5000000,0.38,
GCP,Cloud Logging,5490-F7B7-8DF6,143F-A1B0-E0BE,Log Storage cost,Default,GCP > Ops Tools > Cloud Logging > Logs,gibibyte,1,0,0.00,
GCP,Cloud Logging,5490-F7B7-8DF6,143F-A1B0-E0BE,Log Storage cost,Default,GCP > Ops Tools > Cloud Logging > Logs,gibibyte,1,50,0.50,
Maps,Maps API,1934-AA85-20F9,FAF4-3B2D-51B2,Dynamic Maps,Default,Maps Platform > Maps > Maps and Street View API > Other,count,1000,0,0.00,
Maps,Maps API,1934-AA85-20F9,FAF4-3B2D-51B2,Dynamic Maps,Default,Maps Platform > Maps > Maps and Street View API > Other,count,1000,10000,7.00,
Maps,Maps API,1934-AA85-20F9,FAF4-3B2D-51B2,Dynamic Maps,Default,Maps Platform > Maps > Maps and Street View API > Other,count,1000,100000,5.60,
Maps,Maps API,1934-AA85-20F9,FAF4-3B2D-51B2,Dynamic Maps,Default,Maps Platform > Maps > Maps and Street View API > Other,count,1000,500000,4.20,
Maps,Maps API,1934-AA85-20F9,FAF4-3B2D-51B2,Dynamic Maps,Default,Maps Platform > Maps > Maps and Street View API > Other,count,1000,1000000,2.10,
Maps,Maps API,1934-AA85-20F9,FAF4-3B2D-51B2,Dynamic Maps,Default,Maps Platform > Maps > Maps and Street View API > Other,count,1000,5000000,0.53,
GCP,Cloud Text-to-Speech API,02DA-B362-D983,FEBD-04B6-769B,Count of characters for using wavenet voices,Default,GCP > Cloud AI > Vertex AI Model Garden > Specialized APIs > Speech > Text-to-Speech API,count,1000000,0,0.00,
GCP,Cloud Text-to-Speech API,02DA-B362-D983,FEBD-04B6-769B,Count of characters for using wavenet voices,Default,GCP > Cloud AI > Vertex AI Model Garden > Specialized APIs > Speech > Text-to-Speech API,count,1000000,1000000,16.00,
